#;Nombre Agencia;Agencia;TIPO;Domicilio;Localidad;Latitud;Longitud;Telefono
57385;687-000;687-000;AGENCIA;Granadero Puntanos y Cristobal Colon, 0;LEANDRO ALEM;-33.332203;-66.325489;3584343805
57384;LA DELFINA ;686-000;AGENCIA;AV Serrana Mz 134 lote 14 local, 2;La Punta;-33.1807;-66.3142;2664383113
57383;EL TOTI;685-000;AGENCIA;Rufino Barreiro, 1183;VILLA MERCEDES;-33.6768;-65.4383;2657642905
55361;La Millonaria 2;007-001;SUCURSAL;Riobamba 1600;SAN LUIS;-33,287203;-66,315742;266-4412410
54681;649-001;649-001;SUCURSAL;Av Viento Chorrillero 2243;Juana Koslay;-33,285433;-66,251668;2664662043
54482;682-000;682-000;AGENCIA;Rivadavia, 470;SAN LUIS;-33.3059;-66.3350; 2664-021671
54481;La Mina de Oro;684-000;AGENCIA;Lafinur S/N;EL TRAPICHE;-32.8103;-66.0920;2664-321035
54267;Platita;683-000;AGENCIA;Jorge Luis Ruffa 1330;VILLA MERCEDES;-33,7035;-65,4987;2664268152
54266;680-000;680-000;AGENCIA;Barrio 274 Viviendas Mza G Casa 17;Juana Koslay;-33.2921;-66.2381;2664720110
54265;El Kiosquito del ZAC;681-000;AGENCIA;Ruta 3 Km 1 Local 23, ZAC 2;SAN LUIS;-33.3176;-66.3287;2664685694
53229;ROTITO JUGADOR;679-000;AGENCIA;Granaderos Puntanos 590;UNIÓN;-33,277959;-66,326491;2658-410016
53228;677-000;677-000;AGENCIA;Las Lavandas 82;POTRERO DE LOS FUNES;-33,225504;-66.227879;2664-307841
53227;EL CHAPA;678-000;AGENCIA;Balcarce 442;VILLA MERCEDES;-33,684406;-65,467018;2657-653126
52760;673-000;673-000;AGENCIA;RAUL B DIAZ 2894;SAN LUIS;-33,277959;-66,326491;2664-031563
52600;La Llave;674-000;AGENCIA;Pueyrredon, 1285;VILLA MERCEDES;-33,66878;-65,465729;2657337505
